Subset,Ablation_Mode,CKPT_Tag,HPACS_OK,HPACS_Reason,Global_mIoU,Pure_Soil_FPR,Insular_Recall,Gap_mIoU,clDice,SDF_Relaxed_IoU
Papaya_736x552_DPI150,FULL,BEST_HPACS,1,,69.04,0.56,71.71,0.00,74.71,72.28
Cotton_736x552_DPI150,FULL,BEST_HPACS,1,,44.00,0.01,71.46,0.00,85.86,85.40
