Subset,Ablation_Mode,CKPT_Tag,Global_mIoU,Pure_Soil_FPR,Insular_Recall,Gap_mIoU,clDice,SDF_Relaxed_IoU
Papaya_736x552_DPI150,FULL,BEST_HPACS,69.04,0.56,71.71,0.00,74.71,72.28
Papaya_736x552_DPI150,FULL,BEST_SCORE,69.04,0.56,71.71,0.00,74.71,72.28
Papaya_736x552_DPI150,FULL,LAST,65.65,0.55,68.35,0.00,71.78,67.81
Cotton_736x552_DPI150,FULL,BEST_HPACS,44.00,0.01,71.46,0.00,85.86,85.40
Cotton_736x552_DPI150,FULL,BEST_SCORE,44.00,0.01,71.46,0.00,85.86,85.40
Cotton_736x552_DPI150,FULL,LAST,44.24,0.02,72.58,0.00,86.07,85.45
